Fips_5,democrat,republican,others
13223,0.277777778,0.688272461,0.033949761
13225,0.474330357,0.50344122,0.022228423
13227,0.140974498,0.829961533,0.029063969
13229,0.123512515,0.861988784,0.014498701
13231,0.142120344,0.834154728,0.023724928
13233,0.201688357,0.774815336,0.023496307
13235,0.306241331,0.676005548,0.017753121
13237,0.290682968,0.689713322,0.01960371
13239,0.441570881,0.550766284,0.007662835
13241,0.180680681,0.786661662,0.032657658
13243,0.55122456,0.438427044,0.010348396
13245,0.64641462,0.3239224,0.029662981
13247,0.614090681,0.355911167,0.029998152
13249,0.210057622,0.771084337,0.018858041
13251,0.402449694,0.578302712,0.019247594
13253,0.331382386,0.653567447,0.015050167
13255,0.364028945,0.608699035,0.02727202
13257,0.187162506,0.783087112,0.029750382
13259,0.593780369,0.391156463,0.015063168
13261,0.503007108,0.480772736,0.016220157
13263,0.616759088,0.368453481,0.014787431
13265,0.607580825,0.389074693,0.003344482
13267,0.243517311,0.738229755,0.018252934
13269,0.38028169,0.605633803,0.014084507
13271,0.345890411,0.645416228,0.008693361
13273,0.541179279,0.447362139,0.011458582
13275,0.379853207,0.597170514,0.022976279
13277,0.305717702,0.674027709,0.020254589
13279,0.255854673,0.723900197,0.02024513
13281,0.178888232,0.795830869,0.025280899
13283,0.31890492,0.669256382,0.011838698
13285,0.371988817,0.603194056,0.024817127
13287,0.366686286,0.616539141,0.016774573
13289,0.485587583,0.501355014,0.013057403
13291,0.162729006,0.816712261,0.020558733
13293,0.317815987,0.666910554,0.015273459
13295,0.175947571,0.791033562,0.033018868
13297,0.203744656,0.764779596,0.031475748
13299,0.282337492,0.698703217,0.018959291
13301,0.562982005,0.424592973,0.012425021
13303,0.496395225,0.490367569,0.013237206
13305,0.196004994,0.782963603,0.021031403
13307,0.423835125,0.564516129,0.011648746
13309,0.307326356,0.676022835,0.016650809
13311,0.141588429,0.825594181,0.03281739
13313,0.258888381,0.702492009,0.03861961
13315,0.286290323,0.704301075,0.009408602
13317,0.411948284,0.573339278,0.014712439
13319,0.441800793,0.544203406,0.013995801
13321,0.243520193,0.741651597,0.01482821
15001,0.636055313,0.269798202,0.094146484
15003,0.614773085,0.316057245,0.06916967
15007,0.624871844,0.287602051,0.087526106
15009,0.644527866,0.258850707,0.096621427
16001,0.386760294,0.479135683,0.134104023
16003,0.19010536,0.712780577,0.097114063
16005,0.309492459,0.51412497,0.176382571
16007,0.087090164,0.75239071,0.160519126
16009,0.183990442,0.741457587,0.074551971
16011,0.175879699,0.65606015,0.16806015
16013,0.598284222,0.311450951,0.090264827
16015,0.203723125,0.700839014,0.095437861
16017,0.277849401,0.637110252,0.085040348
16019,0.201940255,0.603762918,0.194296827
16021,0.18070889,0.733875654,0.085415456
16023,0.130081301,0.743089431,0.126829268
16025,0.186440678,0.694915254,0.118644068
16027,0.231957134,0.648787525,0.119255341
16029,0.089291598,0.749588138,0.161120264
16031,0.12668134,0.727439472,0.145879188
16033,0.155477032,0.717314488,0.127208481
16035,0.185214417,0.750328861,0.064456722
16037,0.176884838,0.736122618,0.086992543
16039,0.212860831,0.682468904,0.104670265
16041,0.07001273,0.709401709,0.220585561
16043,0.113910761,0.715660542,0.170428696
16045,0.154513452,0.751822982,0.093663566
16047,0.179156232,0.721055673,0.099788095
16049,0.145269039,0.782339366,0.072391595
16051,0.085054466,0.735163399,0.179782135
16053,0.196859724,0.687898089,0.115242186
16055,0.245272206,0.670321219,0.084406575
16057,0.445330986,0.399768888,0.154900127
16059,0.178955078,0.735107422,0.0859375
16061,0.169811321,0.755974843,0.074213836
16063,0.205949657,0.677345538,0.116704805
16065,0.076555329,0.569926058,0.353518613
16067,0.169844273,0.711250182,0.118905545
16069,0.280681356,0.621998721,0.097319923
16071,0.088974855,0.74032882,0.170696325
16073,0.150573248,0.777579618,0.071847134
16075,0.173138787,0.745519301,0.081341912
16077,0.253444525,0.604060914,0.142494561
16079,0.2703125,0.643945313,0.085742188
16081,0.433882637,0.435490354,0.13062701
16083,0.208642967,0.663720961,0.127636072
16085,0.357636941,0.543279118,0.099083941
16087,0.174186308,0.736924804,0.088888889
17001,0.240242872,0.71327971,0.046477419
17003,0.443429375,0.525650035,0.03092059
17005,0.274634794,0.649136786,0.07622842
17007,0.390678666,0.533976784,0.07534455
17009,0.200084069,0.75493905,0.044976881
17011,0.363828375,0.56007483,0.076096796
17013,0.287436795,0.669389343,0.043173862
17015,0.328676964,0.595567495,0.075755541
17017,0.316354411,0.62763466,0.056010929
17019,0.547179901,0.364168158,0.08865194
17021,0.258231451,0.681997542,0.059771007
17023,0.236755802,0.70913219,0.054112008
17025,0.160629921,0.790708661,0.048661417
17027,0.226476836,0.712555256,0.060967909
17029,0.334309107,0.59474912,0.070941774
17031,0.746750115,0.209989739,0.043260146
17033,0.228230981,0.719179652,0.052589368
17035,0.185198491,0.755523621,0.059277888
17037,0.46940367,0.437866972,0.092729358
17039,0.253214901,0.673074374,0.073710725
17041,0.238584894,0.697514996,0.06390011
17043,0.533205526,0.388122742,0.078671732
17045,0.227740379,0.717007494,0.055252128
17047,0.12966836,0.829997012,0.040334628
17049,0.175080925,0.77431995,0.050599125
17051,0.189775691,0.769118414,0.041105895
17053,0.221075672,0.700437774,0.078486554
17055,0.252632142,0.700978034,0.046389824
17057,0.388238273,0.537570425,0.074191302
17059,0.2427041,0.717399335,0.039896564
17061,0.215756491,0.742166517,0.042076992
17063,0.347075784,0.578990403,0.073933812
17065,0.192510802,0.76956313,0.037926068
17067,0.234513759,0.704966561,0.06051968
17069,0.195530726,0.769553073,0.034916201
17071,0.328311541,0.612563957,0.059124503
17073,0.359980522,0.567503956,0.072515522
17075,0.19167177,0.746325781,0.062002449
17077,0.472600236,0.440467969,0.086931795
17079,0.179906542,0.773948598,0.04614486
17081,0.26030943,0.687981646,0.051708924
